day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,9,1,0,0
1,6,9195,8,2,0,0
1,7,9195,8,2,0,0
2,8,9195,8,2,0,0
2,9,9195,8,2,0,0
2,10,9194,9,2,0,0
2,11,9193,10,2,0,0
3,12,9193,10,2,0,0
3,13,9193,10,2,0,0
3,14,9193,9,3,0,0
3,15,9192,8,5,0,0
4,16,9192,8,5,0,0
4,17,9190,10,5,0,0
4,18,9190,10,5,0,0
4,19,9187,13,5,0,0
5,20,9187,13,5,0,0
5,21,9186,14,5,0,0
5,22,9186,14,5,0,0
5,23,9185,14,6,0,0
6,24,9184,14,7,0,0
6,25,9183,14,8,0,0
6,26,9182,14,9,0,0
6,27,9181,15,9,0,0
7,28,9181,15,9,0,0
7,29,9180,14,11,0,0
7,30,9177,16,12,0,0
7,31,9175,18,12,0,0
8,32,9169,23,13,0,0
8,33,9166,25,14,0,0
8,34,9164,27,14,0,0
8,35,9162,28,15,0,0
9,36,9156,34,15,0,0
9,37,9150,40,15,0,0
9,38,9147,42,16,0,0
9,39,9141,48,16,0,0
10,40,9133,53,19,0,0
10,41,9130,54,21,0,0
10,42,9125,58,22,0,0
10,43,9118,65,22,0,0
11,44,9113,69,23,0,0
11,45,9105,73,27,0,0
11,46,9099,78,28,0,0
11,47,9090,86,29,0,0
12,48,9079,94,32,0,0
12,49,9071,99,35,0,0
12,50,9059,107,38,1,0
12,51,9039,125,40,1,0
13,52,9016,146,42,1,0
13,53,9003,153,48,1,0
13,54,8984,169,51,1,0
13,55,8964,187,53,1,0
14,56,8954,190,60,1,0
14,57,8937,203,64,1,0
14,58,8916,222,66,1,0
14,59,8887,240,77,1,0
15,60,8854,264,86,1,0
15,61,8831,285,88,1,0
15,62,8803,302,99,1,0
15,63,8757,340,107,1,0
16,64,8700,386,118,1,0
16,65,8662,416,126,1,0
16,66,8621,445,137,2,0
16,67,8570,485,148,2,0
17,68,8507,533,163,2,0
17,69,8454,570,179,2,0
17,70,8388,628,187,2,0
17,71,8321,675,207,2,0
18,72,8243,736,224,2,0
18,73,8166,787,249,3,0
18,74,8082,848,272,3,0
18,75,7973,933,296,3,0
19,76,7853,1024,325,3,0
19,77,7748,1097,357,3,0
19,78,7644,1168,390,3,0
19,79,7489,1293,420,3,0
20,80,7333,1421,448,3,0
20,81,7222,1486,494,3,0
20,82,7130,1532,539,4,0
20,83,7028,1596,577,4,0
21,84,6949,1632,620,4,0
21,85,6876,1657,667,5,0
21,86,6781,1689,729,6,0
21,87,6624,1786,789,6,0
